course_name,course_credits,course_uni,course_location,application_status,initial_tuition_fee,total_tuition_fee,period,course_dates,level,language_of_instruction,application_code,teaching_form,meetings,pace_of_study,instructional_time,location,subject_areas,top_level_subjects,course_starts,link
3D Image Reconstruction and Analysis in Medicine,9,KTH Royal Institute of Technology,Huddinge,Open for late application,23250,23250,Autumn 2023 Period 1,28 Aug - 21 Jan,Master's,English,KTH-10154,"Course, On-campus",,33%,Daytime,Huddinge,Medical Technologies,Health and Medical Care,,https://www.kth.se/student/kurser/kurs/HL2027?startterm=20232&l=en
A History of Mathematics for Teachers,7.5,Dalarna University,Falun,Open for late application,16875,16875,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HDA-H3EV4,"Course, On-campus",,Half-time,Daytime,Falun,Mathematics,Mathematics,,http://www.du.se/redirect/course.aspx?language=en&code=MD1097&applicationcode=H3EV4
A History of Mathematics for Teachers,7.5,Dalarna University,Falun,Open for late application,16875,16875,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HDA-H3EV6,"Course, Distance",4,Half-time,Daytime,Falun,Mathematics,Mathematics,,http://www.du.se/redirect/course.aspx?language=en&code=MD1097&applicationcode=H3EV6
A New Heaven and a New Earth,7.5,Newmaninstitutet,Uppsala,Closed for late application,Information not available,12500,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,NMI-L0362,"Course, On-campus",,Half-time,Daytime,Uppsala,Humanities,Humanities,,https://newman.se/kurser-ht-2023/#a-new-heaven-and-a-new-earth
A Theme from the History of Theoretical Philosophy,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,SU-10924,"Course, On-campus",,Half-time,Daytime,Stockholm,Philosophy and Logic,Humanities,,https://sisu.it.su.se/search/info/FITE10/en?eventident=10924&semester=20234
Academic English,7.5,Karlstad University,Karlstad,Open for late application,21000,21000,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,KAU-42513,"Course, On-campus",,Half-time,Daytime,Karlstad,English,Languages,,http://www.kau.se/en/education/programmes-and-courses/courses/ENGA33?occasion=42513
Academic English Basic Course,7.5,Linköping University,Linköping,Open for late application,8745,8745,Autumn 2023 Period 1,21 Aug - 21 Jan,Bachelor's,English,LIU-4Z139,"Course, On-campus",,One-quarter-time,Daytime,Linköping,English,Languages,,https://liu.se/en/education/course/711G39
Academic English for Africanists,7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,GU-13817,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,Languages,Languages,,https://www.gu.se/en/study-gothenburg/AF1212
"Academic English, Basic Course, Distance",7.5,Linköping University,Varied,Closed for late application,8745,8745,Autumn 2023 Period 1,21 Aug - 21 Jan,Bachelor's,English,LIU-4Z138,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,English,Languages,,https://liu.se/en/education/course/711g66
Academic Spanish,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,Spanish,SU-07988,"Course, On-campus",,Half-time,Daytime,Stockholm,Spanish,Languages,,https://sisu.it.su.se/search/info/ES5AKS/en?eventident=07988&semester=20234
Academic Writing with Specialized Theory and Method,10,Linköping University,Linköping,Open for late application,11660,11660,Autumn 2023 Period 1,21 Aug - 21 Jan,Bachelor's,English,LIU-43154,"Course, On-campus",,Three-quarter-time,Daytime,Linköping,English,Languages,,https://liu.se/en/education/course/711g62
Accounting and Control in Global Enterprises,15,Dalarna University,Borlänge,Closed for late application,21750,21750,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HDA-H3FXY,"Course, On-campus",,Full-time,Daytime,Borlänge,Business Administration,Business Administration and Economics,,http://www.du.se/redirect/course.aspx?language=en&code=FÖ3032&applicationcode=H3FXY
Accounting Auditing and Control D,30,Umeå University,Umeå,Closed for late application,46500,46500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,UMU-24038,"Course, On-campus",,Full-time,Daytime,Umeå,"Business Administration, Business Administration and Economics, Management and Financial Accounting",Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=2FE107
"Accounting, Course Module",30,Stockholm University,Stockholm,Closed and will not be opened for late application,45000,45000,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,SU-31798,"Course, On-campus",,Full-time,Daytime,Stockholm,Business Administration,Business Administration and Economics,,https://sisu.it.su.se/search/info/FE9404/en?eventident=31798&semester=20234
Active Electrical Networks,7.5,Dalarna University,Borlänge,Open for late application,16875,16875,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HDA-H3FWD,"Course, On-campus",,Half-time,Daytime,Borlänge,"Electrical Engineering, Environmental Techniques and Energy Technology",Technology | Natural Science,,http://www.du.se/redirect/course.aspx?language=en&code=ET2011&applicationcode=H3FWD
Adaptive and Semantic Web,7.5,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,19300,19300,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,LNU-F2066,"Course, On-campus",,Half-time,Daytime,Växjö,"Computer Science and Engineering, Media Technology","Arts, Design and Media | Technology | Computer Science and Engineering",,https://lnu.se/en/course/4ME310/20232/F2066
"Adult Learning and Global Change, Master's Programme, Distance",60,Linköping University,Linköping,Closed for late application,48000,96000,Autumn 2023 Period 1,,Master's,English,LIU-91200,"Programme, Distance",,Half-time,Daytime,Linköping,"Education, Education/Educational Sciences/Didactics, Educational Sciences/Didactics",Education/Educational Sciences/Didactics,14 Aug,https://liu.se/en/education/program/l7mlg
Advanced algebra,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-48219,"Course, On-campus",,One-quarter-time,Daytime,Stockholm,Mathematics,Mathematics,,https://sisu.it.su.se/search/info/MM7033/en?eventident=48219&semester=20234
Advanced Animal Nutrition,15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,38060,38060,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SLU-10069,"Course, On-campus",,Full-time,Daytime,Uppsala,"Animal Science, Biology","Agriculture, Horticulture, Forestry and Fishery | Natural Science",,https://www.slu.se/en/education/programmes-courses/course/4e9f1808-55c9-11ed-a806-5f53db194482
Advanced animal welfare and animal protection,15,Swedish University of Agricultural Sciences,Uppsala,Open for late application,38060,38060,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SLU-10012,"Course, On-campus",,Full-time,Daytime,Uppsala,"Animal Science, Biology","Agriculture, Horticulture, Forestry and Fishery | Natural Science",,https://www.slu.se/en/education/programmes-courses/course/a1728e82-55c9-11ed-a806-5f53db194482
Advanced Biomedicine,30,Umeå University,Umeå,Open for late application,88050,88050,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,UMU-33601,"Course, On-campus",,Full-time,Daytime,Umeå,Biomedicine,Health and Medical Care | Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=3MB037
Advanced biostatistics and epidemiology,7.5,Umeå University,Umeå,Closed and will not be opened for late application,18550,18550,Autumn 2023 Period 2,30 Oct - 3 Dec,Master's,English,UMU-F3048,"Course, On-campus",,Full-time,Daytime,Umeå,"Global Health, Health and Medical Care, Public Health, Statistics",Health and Medical Care | Social Science and Behavioural Science | Mathematics,,http://www.umu.se/english/education/courses-and-programmes/course?code=3FH065
Advanced biostatistics and epidemiology,7.5,Umeå University,Umeå,Open for late application,18550,18550,Autumn 2023 Period 2,30 Oct - 3 Dec,Master's,English,UMU-30415,"Course, On-campus",,Full-time,Daytime,Umeå,"Global Health, Health and Medical Care, Public Health, Statistics",Health and Medical Care | Social Science and Behavioural Science | Mathematics,,http://www.umu.se/english/education/courses-and-programmes/course?code=3FH065
Advanced Cancer Biology,30,Lund University,Lund,Closed for late application,100000,100000,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,LU-E1072,"Course, On-campus",,Full-time,Daytime,Lund,Biomedicine,Health and Medical Care | Natural Science,,http://www.lunduniversity.lu.se/lubas/i-uoh-lu-VMFN29/E1072
Advanced Chinese I,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-28800,"Course, On-campus",,One-quarter-time,Daytime,Stockholm,Chinese,Languages,,https://sisu.it.su.se/search/info/KI8100/en?eventident=28800&semester=20234
Advanced clinical psychology,7.5,Linköping University,Linköping,Closed for late application,8745,8745,Autumn 2023 Period 1,25 Sept - 29 Oct,Master's,English,LIU-41293,"Course, On-campus",,Full-time,Daytime,Linköping,"Psychology, Psychology, Social Science and Behavioural Science",Health and Medical Care | Social Science and Behavioural Science,,https://liu.se/en/education/course/748a38
Advanced course in health economics evaluation,15,University of Gothenburg,Göteborg,Closed and will not be opened for late application,37500,37500,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-10357,"Course, On-campus",,Full-time,Daytime,Göteborg,Public Health,Health and Medical Care,,https://www.gu.se/en/study-gothenburg/MPH231
"Advanced Course in Immune, Infection and Tumour Biology",30,Karolinska Institutet,Solna,Closed and will not be opened for late application,100000,100000,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,KI-11000,"Course, On-campus",,Full-time,Daytime,Solna,"Biology, Biomedicine, Medicine",Health and Medical Care | Natural Science,,https://education.ki.se/course/2QA222/23-24
Advanced Data Mining,7.5,Luleå University of Technology,Luleå,Closed for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,LTU-17201,"Course, Distance",0,Half-time,Daytime,Luleå,Information Systems,Computer Science and Engineering,,https://www.ltu.se/edu/course/D70/D7043E?l=en&termin=H23
Advanced Digital Control Systems,7.5,University of Gävle,Gävle,Open for late application,18800,18800,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HIG-18307,"Course, On-campus",,Half-time,Daytime,Gävle,Electrical Engineering,Technology,,https://edu.hig.se/web/en/b5e87373-6404-11ed-86e7-9e353f234e0e
Advanced Digital Control Systems,7.5,University of Gävle,Varied,Open for late application,18800,18800,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HIG-18308,"Course, Distance",0,Half-time,Daytime,Varied,Electrical Engineering,Technology,,https://edu.hig.se/web/en/b6283bc9-6404-11ed-86e7-9e353f234e0e
Advanced Digital Tools for Heritage Conservation,7.5,University of Gothenburg,Varied,Open for late application,15500,15500,Autumn 2023 Period 2,4 Dec - 14 Jan,Master's,English,GU-11851,"Course, Distance",0,Full-time,Mixed-time,Varied,Conservation,Humanities,,https://www.gu.se/en/study-gothenburg/KUD113
Advanced Environmental Methodology,15,University of Gothenburg,Göteborg,Open for late application,31000,31000,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-11263,"Course, On-campus",,Full-time,Daytime,Göteborg,"Environmental Science, Care and Protection",Care and Protection | Environmental Science,,https://www.gu.se/en/study-gothenburg/ES2616
Advanced Experimental Tools in Chemistry,15,Umeå University,Umeå,Closed and will not be opened for late application,35700,35700,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-F5608,"Course, On-campus",,Full-time,Daytime,Umeå,"Chemical Engineering , Chemistry",Technology | Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5KE175
Advanced Experimental Tools in Chemistry,15,Umeå University,Umeå,Open for late application,35700,35700,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-56007,"Course, On-campus",,Full-time,Daytime,Umeå,"Chemical Engineering , Chemistry",Technology | Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5KE175
Advanced Financial Management,7.5,University of Gävle,Gävle,Open for late application,14400,14400,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HIG-11162,"Course, On-campus",,Half-time,Daytime,Gävle,"Business Administration, Business Administration and Economics",Business Administration and Economics,,https://edu.hig.se/web/en/16b12333-6993-11ed-8006-5fad1ed44921
Advanced Geospatial Data Visualization,5,University of Gävle,Gävle,Open for late application,12600,12600,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HIG-18409,"Course, On-campus",,One-quarter-time,Daytime,Gävle,Computer Science and Engineering,Computer Science and Engineering,,https://edu.hig.se/web/en/74b1a7a1-6404-11ed-86e7-9e353f234e0e
Advanced GIS Analysis,15,Umeå University,Umeå,Closed and will not be opened for late application,35700,35700,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-F2915,"Course, On-campus",,Full-time,Daytime,Umeå,"Community Planning, Human Geography and Geography, Information Technology","Natural Science | Technology | Materials, Construction and Manufacturing | Computer Science and Engineering | Social Science and Behavioural Science",,http://www.umu.se/english/education/courses-and-programmes/course?code=2KG603
Advanced GIS Analysis,15,Umeå University,Umeå,Open for late application,35700,35700,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-29009,"Course, On-campus",,Full-time,Daytime,Umeå,"Community Planning, Human Geography and Geography, Information Technology","Natural Science | Technology | Materials, Construction and Manufacturing | Computer Science and Engineering | Social Science and Behavioural Science",,http://www.umu.se/english/education/courses-and-programmes/course?code=2KG603
Advanced group and social psychology,7.5,Linköping University,Linköping,Closed for late application,8745,8745,Autumn 2023 Period 1,21 Aug - 24 Sept,Master's,English,LIU-41291,"Course, On-campus",,Full-time,Daytime,Linköping,"Psychology, Psychology, Social Science and Behavioural Science",Health and Medical Care | Social Science and Behavioural Science,,https://liu.se/en/education/course/748a37
Advanced Immunology,7.5,Linköping University,Linköping,Open for late application,21375,21375,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,LIU-89079,"Course, On-campus",,Half-time,Daytime,Linköping,"Biomedicine, Biomedicine, Medical Biology, Medicine",Health and Medical Care | Natural Science,,https://liu.se/en/education/course/8fa221
Advanced Inorganic Chemistry,7.5,KTH Royal Institute of Technology,Stockholm,Open for late application,19375,19375,Autumn 2023 Period 2,30 Oct - 21 Jan,Master's,English,KTH-50766,"Course, On-campus",,Half-time,Daytime,Stockholm,"Chemical Engineering , Chemistry, Inorganic Chemistry",Technology | Natural Science,,https://www.kth.se/student/kurser/kurs/CK2020?startterm=20232&l=en
Advanced japanese I,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-28798,"Course, On-campus",,One-quarter-time,Daytime,Stockholm,Japanese,Languages,,https://sisu.it.su.se/search/info/JKA810/en?eventident=28798&semester=20234
Advanced Korean I,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-28799,"Course, On-campus",,One-quarter-time,Daytime,Stockholm,Korean,Languages,,https://sisu.it.su.se/search/info/JKB810/en?eventident=28799&semester=20234
Advanced Landscape Architecture Theory and Professional Practice,15,Swedish University of Agricultural Sciences,Lomma,Open for late application,74982,74982,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20042,"Course, On-campus",,Full-time,Daytime,Lomma,Landscape Architecture,"Materials, Construction and Manufacturing | Arts, Design and Media",,https://www.slu.se/en/education/programmes-courses/course/c2f5fa47-5041-11ed-9bb3-15472a47482f
Advanced Laser Systems and Technology,7.5,Umeå University,Umeå,Open for late application,17850,17850,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-53006,"Course, On-campus",,Half-time,Daytime,Umeå,"Engineering Physics, Physics",Technology | Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5FY215
Advanced Machine Learning,6,Linköping University,Linköping,Open for late application,11598,11598,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,LIU-46189,"Course, On-campus",,Half-time,Daytime,Linköping,Bioinformatics,Natural Science | Computer Science and Engineering,,https://liu.se/en/education/course/732a96
Advanced Macroeconomics,7.5,Södertörn University,Huddinge,Closed for late application,11498,11498,Autumn 2023 Period 2,27 Nov - 14 Jan,Master's,English,SH-43109,"Course, On-campus",,Full-time,Daytime,Huddinge,Economics,Business Administration and Economics,,https://sh.se/study?code=1120NE&lang=en
"Advanced Measurements of Air Contamination, Noise and Vibrations",7.5,KTH Royal Institute of Technology,Huddinge,Open for late application,19375,19375,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,KTH-10160,"Course, On-campus",,Half-time,Daytime,Huddinge,"Ergonomics, Work Science",Health and Medical Care | Social Science and Behavioural Science,,https://www.kth.se/student/kurser/kurs/CH2006?startterm=20232&l=en
