subject_areas,Top_Level_Subjects
Medical Technologies,['Health and Medical Care']
Mathematics,['Mathematics']
Mathematics,['Mathematics']
Humanities,['Humanities']
Philosophy and Logic,['Humanities']
English,['Languages']
English,['Languages']
Languages,['Languages']
English,['Languages']
Spanish,['Languages']
English,['Languages']
Business Administration,['Business Administration and Economics']
"Business Administration, Business Administration and Economics, Management and Financial Accounting",['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
"Electrical Engineering, Environmental Techniques and Energy Technology","['Technology', 'Natural Science']"
"Computer Science and Engineering, Media Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Education, Education/Educational Sciences/Didactics, Educational Sciences/Didactics",['Education/Educational Sciences/Didactics']
Mathematics,['Mathematics']
"Animal Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
"Animal Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Biomedicine,"['Health and Medical Care', 'Natural Science']"
"Global Health, Health and Medical Care, Public Health, Statistics","['Health and Medical Care', 'Social Science and Behavioural Science', 'Mathematics']"
"Global Health, Health and Medical Care, Public Health, Statistics","['Health and Medical Care', 'Social Science and Behavioural Science', 'Mathematics']"
Biomedicine,"['Health and Medical Care', 'Natural Science']"
Chinese,['Languages']
"Psychology, Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
Public Health,['Health and Medical Care']
"Biology, Biomedicine, Medicine","['Health and Medical Care', 'Natural Science']"
Information Systems,['Computer Science and Engineering']
Electrical Engineering,['Technology']
Electrical Engineering,['Technology']
Conservation,['Humanities']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Chemical Engineering , Chemistry","['Technology', 'Natural Science']"
"Chemical Engineering , Chemistry","['Technology', 'Natural Science']"
"Business Administration, Business Administration and Economics",['Business Administration and Economics']
Computer Science and Engineering,['Computer Science and Engineering']
"Community Planning, Human Geography and Geography, Information Technology","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Community Planning, Human Geography and Geography, Information Technology","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Psychology, Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Biomedicine, Biomedicine, Medical Biology, Medicine","['Health and Medical Care', 'Natural Science']"
"Chemical Engineering , Chemistry, Inorganic Chemistry","['Technology', 'Natural Science']"
Japanese,['Languages']
Korean,['Languages']
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Bioinformatics,"['Natural Science', 'Computer Science and Engineering']"
Economics,['Business Administration and Economics']
"Ergonomics, Work Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
Chemistry,['Natural Science']
Molecular Biology,['Natural Science']
Chinese,['Languages']
Chinese,['Languages']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Biology,['Natural Science']
Medicine,['Health and Medical Care']
Medicine,['Health and Medical Care']
"Biology, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Agricultural Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Agricultural Science,"['Agriculture, Horticulture, Forestry and Fishery']"
"Computer Science, Technology","['Technology', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
"Computer Science and Engineering, Global Health, Statistics","['Health and Medical Care', 'Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
Molecular Biology,['Natural Science']
Molecular Biology,['Natural Science']
Peace and Development Studies,['Social Science and Behavioural Science']
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
Mathematics,['Mathematics']
Computer Science,['Computer Science and Engineering']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
,['']
Mechanical Engineering,['Technology']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Music,"['Arts, Design and Media']"
"Biology, Natural Science",['Natural Science']
"Business Administration and Economics, Global Health, Health and Medical Care, Public Health","['Health and Medical Care', 'Business Administration and Economics']"
"Business Administration and Economics, Global Health, Health and Medical Care, Public Health","['Health and Medical Care', 'Business Administration and Economics']"
"Computer Science and Engineering, Media Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
Media Technology,"['Arts, Design and Media', 'Technology']"
"Materials, Construction and Manufacturing, Mechanical Engineering, Technology, Vehicle Engineering","['Materials', 'Technology', 'Construction and Manufacturing']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
,['']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
English,['Languages']
"African Studies, African Studies, Area Studies, Area Studies, Humanities","['Humanities', 'Social Science and Behavioural Science']"
"African Studies, African Studies, Area Studies, Area Studies, Development Studies, Humanities","['Humanities', 'Social Science and Behavioural Science']"
"African Studies, African Studies, Area Studies, Area Studies, Development Studies, History, Humanities","['Humanities', 'Social Science and Behavioural Science']"
"African Studies, African Studies, Area Studies, Area Studies, Development Studies, Humanities, Religious Studies","['Religious Studies', 'Humanities', 'Social Science and Behavioural Science']"
"African Studies, African Studies, Area Studies, Area Studies, Development Studies, Humanities, Religious Studies","['Religious Studies', 'Humanities', 'Social Science and Behavioural Science']"
"African Studies, African Studies, Area Studies, Area Studies, Development Studies, History, Humanities","['Humanities', 'Social Science and Behavioural Science']"
"African Studies, African Studies, Area Studies, Area Studies, Development Studies, History, Humanities","['Humanities', 'Social Science and Behavioural Science']"
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Human Ecology,"['Humanities', 'Social Science and Behavioural Science']"
Computer Science and Engineering,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
"Business Administration, Economics, Industrial Economics, Organisation and Management, Leadership, Organisation and Management, Marketing","['Organisation and Management', 'Industrial Economics', 'Leadership', 'Business Administration and Economics']"
"Business Administration and Economics, Economics",['Business Administration and Economics']
